,Topic,Relevant,Count,Name,Representation,Representative_Docs
0,-1,1,4416,-1_gaza_to_israel_of,"['gaza', 'to', 'israel', 'of', 'in', 'hamas', 'for', 'on', 'israeli', 'says']","['Turkish foreign minister to meet US Secretary of State Blinken for talks', ""Israel Gaza: What Gaza's death toll says about the war"", 'Hamas chief in Egypt for talks on Gaza truce and hostage release']"
1,0,0,1528,0_ukraine_russia_russian_ukrainian,"['ukraine', 'russia', 'russian', 'ukrainian', 'russias', 'kyiv', 'ukraines', 'war', 'putin', 'nato']","['Russian drones hit Black Sea coast while Ukraine targets air base in Russia', 'Russia-Ukraine war: drones hit Russian oil facility more than 130 miles from Ukraine - as it happened', 'Ukraine says it shot down Russian fighter jets and drones']"
2,1,0,808,1_sea_red_houthi_yemen,"['sea', 'red', 'houthi', 'yemen', 'houthis', 'us', 'yemens', 'ships', 'ship', 'rebels']","[""Yemen's Houthi rebels hijack cargo ship in Red Sea"", 'US strikes Yemen after Houthis threaten Red Sea ships', 'US strikes Houthi anti-ship missile in Red Sea']"
3,2,1,551,2_hospital_alshifa_hospitals_gazas,"['hospital', 'alshifa', 'hospitals', 'gazas', 'gaza', 'health', 'israeli', 'patients', 'medical', 'forces']","['Israeli forces raid Gaza’s largest hospital in operation against Hamas', 'Israeli military forces raid Gaza’s largest hospital in operation against Hamas', ""Israeli military forces raid Gaza's largest hospital in operation against Hamas""]"
4,3,1,531,3_genocide_case_icj_court,"['genocide', 'case', 'icj', 'court', 'south', 'against', 'crimes', 'africas', 'israel', 'ruling']","[""South Africa's genocide case against Israel begins at International Court of Justice"", ""Iraq backs South Africa's ICJ genocide case against Israel over Gaza war"", 'South Africa’s Genocide Case Against Israel at the ICJ']"
5,4,1,491,4_hostages_hostage_hamas_release,"['hostages', 'hostage', 'hamas', 'release', 'released', 'israeli', 'deal', 'families', 'israelhamas', 'ceasefire']","['Israeli military says it mistakenly killed 3 Israeli hostages in Gaza', 'Israeli military says it mistakenly killed 3 Israeli hostages in Gaza', 'Hamas claims 3 Israeli hostages killed in Gaza strike']"
6,5,0,428,5_hezbollah_lebanon_border_israeli,"['hezbollah', 'lebanon', 'border', 'israeli', 'southern', 'lebanese', 'beirut', 'strike', 'israel', 'clashes']","['Israeli strike kills Hezbollah commander in Lebanon', 'Senior Hezbollah leader killed in Israeli strike in southern Lebanon', 'Hezbollah commander killed in Israeli strike in southern Lebanon']"
7,6,1,389,6_gaza_un_war_humanitarian,"['gaza', 'un', 'war', 'humanitarian', 'of', 'israels', 'situation', 'in', 'chief', 'israel']","['Israel Gaza war: UN says no let-up in Israeli air strikes in Gaza', 'UN human rights chief warns of ‘apocalyptic’ crisis in Gaza as fighting intensifies', ""UN aid agency chief in Gaza visit says situation 'hell on earth'""]"
8,7,0,383,7_trump_the_2023_2024,"['trump', 'the', '2023', '2024', 'you', 'trial', 'playbook', 'year', 'know', 'things']","[""The second trial between Donald Trump and E. Jean Carroll began Tuesday. Here's what to know."", ""The second trial between Donald Trump and E. Jean Carroll began Tuesday. Here's what to know."", ""The second trial between Donald Trump and E. Jean Carroll began Tuesday. Here's what to know.""]"
9,8,0,376,8_vs_bowl_football_college,"['vs', 'bowl', 'football', 'college', 'score', 'final', 'picks', 'nfl', 'odds', 'game']","['College football odds, picks, predictions for 2023-24 bowl season: Computer simulation backs Oregon Ducks', 'College Football Picks: College Football Bowl Game Picks, Part 1', 'Air Force vs. James Madison odds: 2023 Armed Forces Bowl picks, college football predictions from proven model']"
10,9,1,343,9_bank_west_palestinians_israeli,"['bank', 'west', 'palestinians', 'israeli', 'occupied', 'palestinian', 'army', 'jenin', 'in', 'raids']","['6 Palestinians Killed in West Bank in Israeli Raids', 'Israeli army kills 1 Palestinian in West Bank', '8 Palestinians killed by Israeli army fire in West Bank']"
11,10,1,318,10_rally_protesters_protest_propalestinian,"['rally', 'protesters', 'protest', 'propalestinian', 'propalestine', 'thousands', 'march', 'london', 'demonstrators', 'ceasefire']","['Cease-fire now: Tens of thousands in London hold rally in solidarity with Palestine', 'Thousands march against antisemitism in London', 'Thousands attend march against anti-Semitism in London']"
12,11,1,307,11_ceasefire_humanitarian_pause_un,"['ceasefire', 'humanitarian', 'pause', 'un', 'council', 'resolution', 'gaza', 'security', 'vote', 'for']","['UN Security Council vote on Gaza ceasefire resolution', 'UN Security Council to Vote on Call for Humanitarian Pause in Gaza', 'UN Security Council to Vote on Call for Humanitarian Pause in Gaza']"
13,12,0,298,12_china_taiwan_chinas_chinese,"['china', 'taiwan', 'chinas', 'chinese', 'xi', 'philippines', 'us', 'taiwans', 'military', 'the']","['The US and the Philippines conduct joint air, sea patrols in South China Sea not far from Taiwan', 'Beijing steps up military pressure on Taiwan after the US and China announce talks', 'Beijing steps up military pressure on Taiwan after the US and China announce talks']"
14,13,1,244,13_netanyahu_netanyahus_israels_war,"['netanyahu', 'netanyahus', 'israels', 'war', 'gaza', 'rejects', 'benjamin', 'israeli', 'hostages', 'calls']","['The war in Gaza is far from over for Netanyahu', 'Israeli war on Gaza ‘far from over,’ says Netanyahu', 'Netanyahu says Israeli army to control Gaza after war']"
15,14,0,217,14_military_pentagon_space_veterans,"['military', 'pentagon', 'space', 'veterans', 'extremism', 'ai', 'the', 'new', 'force', 'navy']","['Troops do not have an extremism problem, but veterans do, study finds', 'Troops do not have an extremism problem, but veterans do, study finds', 'Troops do not have an extremism problem, but veterans do, study finds']"
16,15,1,215,15_journalists_journalist_media_killed,"['journalists', 'journalist', 'media', 'killed', 'jazeera', 'al', 'gaza', 'israeli', 'coverage', 'bbc']","['Gaza Media Office Condemns Israeli Killing of Palestinian Journalists', 'Al Jazeera rejects Israel’s claims over killing of Gaza journalists', '2 more journalists killed in Israeli airstrikes on Gaza']"
17,16,0,190,16_erdoan_trkiye_erdogan_turkish,"['erdoan', 'trkiye', 'erdogan', 'turkish', 'president', 'trkiyes', 'israel', 'for', 'to', 'erdoans']","[""Netanyahu, 'butcher of Gaza,' should be tried for 'war crimes': Turkish President Erdogan"", 'Turkish President Erdogan criticizes West for silence on massacre in Palestine', 'Turkish President Erdogan, UN chief discuss Israeli attacks on Gaza']"
18,17,1,187,17_killed_palestinians_israeli_airstrikes,"['killed', 'palestinians', 'israeli', 'airstrikes', 'least', 'gaza', 'in', 'kill', 'strip', 'dozens']","['At least 12 Palestinians killed in Israeli attacks on Gaza Strip', 'Over 100 Palestinians killed in Israeli airstrikes in northern Gaza', 'At least 12 Palestinians killed by Israeli airstrikes in southern Gaza Strip']"
19,18,0,182,18_market_research_billion_forecast,"['market', 'research', 'billion', 'forecast', 'reach', '2028', 'stratview', 'cagr', 'by', 'million']","['Aircraft EWIS Market is Forecast to Reach US$ 3.1 Billion in 2028, Says Stratview Research.', 'Anchors Market is Forecast to Reach US$ 4.9 Billion in 2028, Says Stratview Research', 'Post-Installed Anchors Market is Forecast to Reach US$ 4.7 Billion in 2028, Says Stratview Research']"
20,19,0,166,19_christmas_headlines_newspaper_musk,"['christmas', 'headlines', 'newspaper', 'musk', 'elon', 'bethlehem', 'braverman', 'and', 'cameron', 'suella']","[""Newspaper headlines: Rwanda legal concern and Royal 'Christmas cracker'"", 'Newspaper headlines: Suella comes out fighting and pre-Christmas tax cuts', ""Newspaper headlines: 'King's Christmas message' and Cameron on Iran""]"
21,20,1,159,20_soldiers_killed_injured_israeli,"['soldiers', 'killed', 'injured', 'israeli', 'army', 'battles', 'soldier', 'fighting', 'more', 'gaza']","['3 more Israeli soldiers killed in Gaza fighting, army says', 'Israeli army says 3 more soldiers killed in Gaza fighting', 'Israeli army says 2 more soldiers killed in Gaza']"
22,21,0,149,21_syria_iraq_iranbacked_us,"['syria', 'iraq', 'iranbacked', 'us', 'strikes', 'militias', 'airstrike', 'iraqi', 'iranianbacked', 'iranlinked']","['US launches airstrike on site in Syria in response to attacks by Iranian-backed militias', 'US launches airstrike on site in Syria in response to attacks by Iranian-backed militias', 'US launches airstrike on site in Syria in response to attacks by Iranian-backed militias']"
23,22,1,142,22_biden_bidens_joe_israel,"['biden', 'bidens', 'joe', 'israel', 'israels', 'indiscriminate', 'bombing', 'to', 'tougher', 'aid']","['Biden takes a tougher stance on Israel’s ‘indiscriminate bombing’ of Gaza', 'Erdoğan urges Biden to stop US support to Israel', ""US President Joe Biden calls for 'pause' in Israel-Gaza conflict""]"
24,23,0,139,23_osprey_japan_crash_off,"['osprey', 'japan', 'crash', 'off', 'aircraft', 'crashes', 'force', 'mediterranean', 'air', 'helicopter']","['Japan suspends its Osprey flights after the fatal crash of a US Air Force aircraft', 'At least one dead after U.S. Air Force Osprey crashes off Japan', 'US Air Force Osprey crashes off southern Japan, at least 1 dead']"
25,24,0,135,24_korea_north_kim_korean,"['korea', 'north', 'kim', 'korean', 'south', 'jong', 'koreas', 'nuclear', 'missile', 'launch']","[""North Korea and Russia clash with US, South Korea and allies over Pyongyang's latest missile launch"", 'North Korea launches missile after U.S. sub arrives in South Korea', 'South Korea launches first spy satellite after North Korea does same']"
26,25,1,135,25_blinken_meets_antony_seeks,"['blinken', 'meets', 'antony', 'seeks', 'middle', 'east', 'civilians', 'civilian', 'urges', 'tour']","[""Blinken calls for 'pauses' in Gaza as Israel targets civilians"", 'Palestinians protest Blinken’s visit amid Israeli war on Gaza', 'Israel strikes southern Gaza as Blinken in Egypt for talks']"
27,26,1,131,26_israel_fm_regimes_zionist,"['israel', 'fm', 'regimes', 'zionist', 'iran', 'israels', 'irans', 'threat', 'regime', 'peace']","['Israeli regime’s terror machine a real threat to regional peace: Iran FM', 'Iran warns against Zionist regime’s threat of using nuclear weapons', 'Israeli regime’s terror machine a real threat to regional peace: Iran FM']"
28,27,1,126,27_truce_ceasefire_resumes_temporary,"['truce', 'ceasefire', 'resumes', 'temporary', 'hamas', 'israelhamas', 'deal', 'extension', 'gaza', 'israel']","[""Hamas leader says 'close to reaching' truce deal in Israel-Hamas war"", 'Israel launches strikes on Gaza as fighting resumes after truce expires', 'Israel Resumes Offensive in Gaza Strip After Truce With Hamas Ends']"
29,28,1,118,28_children_child_unicef_gaza,"['children', 'child', 'unicef', 'gaza', 'my', 'every', 'kids', 'family', 'palestinian', 'childrens']","[""Gaza children still face unrelenting war: UN children's agency"", ""On World Children's Day, Turkish communications chief commemorates over 5,000 Gazan children killed by Israel"", 'Save the Children fears children may be among casualties in latest attacks on Gaza']"
30,29,1,114,29_hamas_war_israelhamas_the,"['hamas', 'war', 'israelhamas', 'the', 'and', 'israel', 'is', 'months', 'defeat', 'will']","['Is Hamas the same as ISIS, the Islamic State group? No', 'Is Hamas the same as ISIS, the Islamic State group? No', 'Is Hamas the same as ISIS, the Islamic State group? No']"
31,30,1,111,30_qatar_qatars_qatari_pm,"['qatar', 'qatars', 'qatari', 'pm', 'mediation', 'doha', 'discuss', 'efforts', 'emir', 'gaza']","['Qatar’s emir, US president discuss developments in Gaza', ""Qatar Condemns Israeli PM's Criticism of Mediation Efforts in Gaza War"", 'Qatar’s PM and U.S. Secretary of State discuss Gaza mediation efforts during Washington meeting']"
32,31,1,111,31_toll_death_rises_attacks,"['toll', 'death', 'rises', 'attacks', 'from', 'nears', 'israeli', 'surpasses', 'gaza', 'soars']","['Gaza’s death toll from Israeli attacks soars to 9,488', 'Death toll from Israeli attacks on Gaza since Oct. 7 rises to 24,285', 'Gaza’s death toll from Israeli attacks soars to 9,227']"
33,32,0,92,32_trkiye_turkish_greece_trkiyes,"['trkiye', 'turkish', 'greece', 'trkiyes', 'ties', 'president', 'erdoan', 'summit', 'cooperation', '4th']","['4th International Model OIC High Schools Summit to be held in Istanbul', '4th International Model OIC High School Summit to be held in Türkiye', 'There is no issue between Türkiye, Greece that cannot be resolved: Turkish president']"
34,33,1,87,33_orders_flee_evacuation_southern,"['orders', 'flee', 'evacuation', 'southern', 'evacuations', 'widens', 'thousands', 'gaza', 'palestinians', 'israel']","['Israel’s Military Widens Evacuation Orders in Southern Gaza', 'Israel’s Military Widens Evacuation Orders in Southern Gaza', 'Israel’s Military Widens Evacuation Orders in Southern Gaza']"
35,34,1,85,34_prisoners_prisoner_palestinian_swap,"['prisoners', 'prisoner', 'palestinian', 'swap', 'freed', 'detainees', 'jails', 'detainee', 'prison', 'release']","['Israel re-arrests Palestinian teen freed in prisoner swap', 'Gaza ceasefire: 39 Palestinian prisoners freed from Israeli jails in second round of captive swap', '39 Palestinian prisoners released in 2nd prisoner swap']"
36,35,1,85,35_hunger_starvation_food_starving,"['hunger', 'starvation', 'food', 'starving', 'famine', 'un', 'gazans', 'of', 'facing', 'gaza']","['Gazans face imminent starvation risk amid conflict, WFP warns', 'Over 576,600 people in Gaza face ‘catastrophic hunger’: UN report', 'The UN warns of starvation in Gaza']"
37,36,1,83,36_tunnels_tunnel_seawater_hamas,"['tunnels', 'tunnel', 'seawater', 'hamas', 'flood', 'flooding', 'idf', 'pumping', 'large', 'begins']","['Israeli army begins pumping seawater into Hamas tunnels: report', 'Israel military begins pumping seawater into Hamas tunnels, report says', 'Israeli army confirms pumping seawater to flood Hamas tunnels in Gaza']"
38,37,0,81,37_biden_respond_troops_jordan,"['biden', 'respond', 'troops', 'jordan', 'drone', 'shall', 'us', 'iranbacked', 'after', 'strike']","['Biden says US ‘shall respond’ after drone strike by Iran-backed group kills 3 US troops in Jordan', ""Biden says US 'shall respond' after drone strike by Iran-backed group kills 3 US troops in Jordan"", 'Biden says US ‘shall respond’ after drone strike by Iran-backed group kills 3 US troops in Jordan']"
39,38,1,79,38_agency_funding_unrwa_un,"['agency', 'funding', 'unrwa', 'un', 'refugees', 'aid', 'countries', 'for', 'donors', 'palestinian']","['UN Urges Countries to Reverse Funding Pause for Refugee Agency', 'Pakistan concerned over suspension of funding to UN agency for Palestinian refugees', 'Aid organizations condemn cut in funding to UN agency for Palestinian refugees']"
40,39,0,76,39_drone_jordan_attack_troops,"['drone', 'jordan', 'attack', 'troops', 'base', 'us', 'strike', 'iranbacked', 'killed', 'three']","['3 American Soldiers Killed in Drone Strike in Jordan, U.S. Says', 'US drone attack: Three US troops killed in drone strike on US base in Middle East', 'Three US troops killed, dozens injured in drone attack in Jordan']"
41,40,0,76,40_austin_lloyd_hospitalization_austins,"['austin', 'lloyd', 'hospitalization', 'austins', 'cancer', 'secretary', 'defense', 'prostate', 'pentagon', 'his']","['Pentagon Didn’t Inform White House For Days About Lloyd Austin’s Hospitalization', 'US Defense Chief Lloyd Austin Released From Hospital', 'U.S. defense chief Lloyd Austin released from hospital']"
42,41,1,75,41_idf_video_footage_shows,"['idf', 'video', 'footage', 'shows', 'hamas', 'soldiers', 'civilians', 'terrorists', 'underwear', 'show']","['Video Shows IDF Soldiers In Close-Quarters Combat With Hamas Fighters', 'Video Shows IDF Striking Rocket Launchers Used To Fire On Israel, IDF Says', 'Footage shows dozens of Hamas suspects stripped and blindfolded being paraded around in their underwear by IDF soldiers']"
43,42,1,73,42_antisemitism_students_jewish_islamophobia,"['antisemitism', 'students', 'jewish', 'islamophobia', 'student', 'university', 'germany', 'antimuslim', 'hate', 'campus']","['UPenn students grapple with free speech and antisemitism', ""Jewish MIT students say college didn't stop yearlong campaign of hate"", ""MIT blasted for failing to act on antisemitism as Jewish students say 'bounties' are offered for their IDs""]"
44,43,1,67,43_babies_premature_hospital_alshifa,"['babies', 'premature', 'hospital', 'alshifa', 'evacuated', 'from', '31', 'newborns', 'medic', 'egypt']","['Gaza war: Premature babies evacuated from al-Shifa hospital', '31 premature babies evacuated from Gaza’s largest hospital', 'Israel-Hamas war: Premature babies evacuated from Gaza hospital']"
45,44,1,67,44_discuss_meeting_summit_iran,"['discuss', 'meeting', 'summit', 'iran', 'fm', 'situation', 'iranian', 'saudi', 'fms', 'arab']","['Iran FM, Hamas chief discuss latest developments in Gaza', 'Russian, Iranian foreign ministers discuss situation in Gaza', 'Saudi, Iranian foreign ministers discuss Israeli war on Gaza']"
46,45,0,62,45_euro_cup_asian_afc,"['euro', 'cup', 'asian', 'afc', 'league', '2024', 'draw', '2023', 'scotland', 'afcon']","['Afcon & Asian Cup: Which Premier League players are at the tournaments?', 'Afcon & Asian Cup: Which Premier League players are at the tournaments?', 'Iran Victorious over Palestine in 2023 AFC Asian Cup']"
47,46,1,61,46_younis_khan_shelter_gazas,"['younis', 'khan', 'shelter', 'gazas', 'crescent', 'shells', 'crowded', 'un', 'fighting', 'killed']","['Khan Younis: UN says 12 killed at Gaza shelter as fighting rages', '13 Palestinians killed in Israeli attacks on Khan Younis', ""Jordan condemns Israeli attack on UN shelter in Gaza's Khan Younis""]"
48,47,1,56,47_trkiye_patients_evacuated_from,"['trkiye', 'patients', 'evacuated', 'from', 'turkish', 'citizens', 'treatment', 'evacuates', 'gaza', 'field']","['42 Turkish citizens evacuated from Gaza return to Türkiye', '130 Turkish citizens, their family members evacuated from Gaza to Egypt', 'Cancer patients evacuated from Gaza heading to Türkiye for treatment']"
49,48,0,52,48_iran_regional_fm_westerncriticized,"['iran', 'regional', 'fm', 'westerncriticized', 'irans', 'kerman', 'independently', 'twin', 'terror', 'tensions']","['Iran launches satellite that is part of a Western-criticized program as regional tensions spike', 'Iran launches satellite that is part of a Western-criticized program as regional tensions spike', 'Iran launches satellite that is part of a Western-criticized program as regional tensions spike']"